SLNo,Carpet_area,Status,Floor,Transaction_type,Year_Built,Price_per_square_feet
226,2247,Ready to Move,3,Resale,,11126
227,600,Ready to Move,4,Resale,,4271
228,750,Ready to Move,10,Resale,,11744
229,100,Ready to Move,4,Resale,,5859
230,,Ready to Move,4,Resale,,6667
231,700,Ready to Move,4,Resale,,4000
232,3240,Ready to Move,4,Resale,,13194
233,1950,Ready to Move,4,Resale,,27805
234,100,Ready to Move,4,Resale,,6566
235,,Ready to Move,10,Resale,,15448
236,450,Ready to Move,5,Resale,,4909
237,2000,Ready to Move,4,Resale,,10556
238,534,Ready to Move,3,Resale,,5548
239,1900,Ready to Move,10,Resale,2008,12955
240,2100,Ready to Move,4,New Property,2000,36000
241,1250,Ready to Move,3,Resale,1995,13704
242,234,Ready to Move,4,New Property,2010,22059
243,1700,Ready to Move,4,New Property,2000,32333
244,1500,Ready to Move,4,Resale,2001,24167
245,,Ready to Move,4,New Property,1992,28333
246,1200,Ready to Move,3,New Property,2005,6800
247,1200,Ready to Move,4,Resale,2002,12320
248,1900,Ready to Move,6,Resale,2010,12955
249,1450,Ready to Move,4,New Property,2010,11333
250,1300,Ready to Move,5,New Property,2008,8074
251,,Ready to Move,4,Resale,2003,19120
252,1500,Ready to Move,30,Resale,2008,15938
253,,Ready to Move,4,Resale,2007,14000
254,1600,Ready to Move,7,Resale,2005,12167
255,1300,Ready to Move,4,New Property,2000,13929
256,950,Ready to Move,4,Resale,2005,10435
257,1300,Ready to Move,4,New Property,2001,13929
258,1560,Ready to Move,4,Resale,2010,17560
259,1200,Ready to Move,4,New Property,2010,6923
260,,Ready to Move,10,Resale,2010,15360
261,1350,Ready to Move,3,Resale,2002,10138
262,1800,Ready to Move,4,Resale,2012,12895
263,2300,Ready to Move,4,New Property,2000,31481
264,2200,Ready to Move,4,New Property,2005,50000
265,1200,Ready to Move,4,Resale,2003,8600
266,1800,Ready to Move,4,New Property,2007,20455
267,1150,Ready to Move,4,Resale,2003,14044
268,,Ready to Move,3,Resale,1985,27778
269,1300,Ready to Move,8,Resale,2000,11765
270,,Ready to Move,4,New Property,2012,31481
271,1550,Ready to Move,26,Resale,2010,14545
272,3700,Ready to Move,3,New Property,2002,26111
273,2800,Ready to Move,4,New Property,2010,32692
274,1300,Ready to Move,3,Resale,2010,16667
275,1700,Ready to Move,8,Resale,2014,14722
276,2000,Ready to Move,9,Resale,1998,13591
277,1900,Ready to Move,3,Resale,1990,11000
278,1970,Ready to Move,10,Resale,,13617
279,2500,Ready to Move,4,New Property,2005,18849
280,1100,Ready to Move,4,New Property,2005,21333
281,1800,Ready to Move,8,Resale,2003,12000
282,1940,Ready to Move,8,Resale,2008,10900
283,2350,Ready to Move,4,Resale,1995,20833
284,1300,Ready to Move,4,Resale,2013,10714
285,700,Ready to Move,4,New Property,2013,7190
286,80,Ready to Move,4,New Property,2000,4861
287,1700,Ready to Move,10,Resale,2003,11579
288,1800,Ready to Move,4,Resale,2009,14872
289,2200,Ready to Move,4,New Property,2008,37500
290,2650,Ready to Move,10,Resale,2010,13934
291,500,Ready to Move,4,New Property,2011,5093
292,950,Ready to Move,3,Resale,2006,12105
293,2400,Ready to Move,3,Resale,1994,42000
294,,Ready to Move,7,Resale,2007,11667
295,208,Ready to Move,4,New Property,2011,20032
296,200,Ready to Move,4,New Property,2010,21111
297,1000,Ready to Move,3,Resale,2000,13750
298,700,Ready to Move,5,New Property,2010,4267
299,1600,Ready to Move,8,Resale,2000,12778
300,1100,Ready to Move,8,Resale,2011,13750
301,,Ready to Move,4,New Property,2008,31111
302,950,Ready to Move,4,New Property,2010,6094
303,2140,Ready to Move,4,Resale,2017,21111
304,3000,Ready to Move,4,New Property,1979,23333
305,,Ready to Move,4,Resale,,4200
306,1100,Ready to Move,3,Resale,,
307,685,Ready to Move,4,Resale,,9489
308,,Ready to Move,4,Resale,,6250
309,,Ready to Move,4,Resale,,5750
310,,Ready to Move,6,Resale,,6500
311,945,Ready to Move,2,Resale,,6108
312,,Ready to Move,4,Resale,,6343
313,810,Ready to Move,3,Resale,,5595
314,,Ready to Move,3,Resale,,7396
315,,Ready to Move,4,Resale,,5333
316,,Ready to Move,4,Resale,,6154
317,,Ready to Move,,Resale,,16102
318,,Ready to Move,3,Resale,,10667
319,1350,Ready to Move,10,Resale,,12814
320,450,Ready to Move,4,Resale,,3796
321,,Ready to Move,4,Resale,,6032
322,,Ready to Move,4,Resale,,10742
323,1500,Ready to Move,3,Resale,,16667
324,1300,Ready to Move,4,Resale,,11429
325,320,Ready to Move,5,Resale,,4722
326,,Ready to Move,1,Resale,,8194
327,,Ready to Move,4,Resale,,6222
328,,Ready to Move,4,Resale,,5556
329,600,Ready to Move,4,Resale,,5200
330,,Ready to Move,4,Resale,,3472
331,580,Ready to Move,4,Resale,,
332,,Ready to Move,4,New Property,,22222
333,,Ready to Move,4,Resale,,9615
334,,Ready to Move,3,Resale,,5185
335,,Ready to Move,3,Resale,,8130
336,400,Ready to Move,4,Resale,,6977
337,,Ready to Move,3,Resale,,3434
338,,Ready to Move,5,Resale,,5556
339,,Ready to Move,4,Resale,,4419
340,800,Ready to Move,3,Resale,,16667
341,301,Ready to Move,4,Resale,,10963
342,700,Ready to Move,4,New Property,,5625
343,,Ready to Move,5,Resale,,3750
344,,Ready to Move,4,Resale,,7184
345,990,Ready to Move,4,New Property,,4400
346,500,Ready to Move,3,New Property,,5600
347,110,Ready to Move,3,Resale,,5983
348,,Ready to Move,3,Resale,,10000
349,150,Ready to Move,4,Resale,,59333
350,1250,Ready to Move,7,Resale,,
351,1400,Ready to Move,4,Resale,,11667
352,1300,Ready to Move,3,Resale,,6667
353,,Ready to Move,4,Resale,,12479
354,,Ready to Move,3,Resale,,12745
355,1000,Ready to Move,5,Resale,,6800
356,630,Ready to Move,4,Resale,,4741
357,,Ready to Move,4,Resale,,9250
358,,Ready to Move,4,Resale,,8709
359,58,Ready to Move,5,Resale,,
360,,Ready to Move,3,Resale,,8421
361,,Ready to Move,4,Resale,,4630
362,,Ready to Move,3,Resale,,14815
363,300,Ready to Move,8,Resale,,15873
364,700,Ready to Move,3,Resale,,33750
365,1300,Ready to Move,3,Resale,,
366,1100,Ready to Move,3,Resale,,11667
367,978,Ready to Move,4,Resale,,4000
368,,Ready to Move,4,Resale,,3922
369,980,Ready to Move,5,Resale,,8098
370,,Ready to Move,3,Resale,,5161
371,1550,Ready to Move,7,Resale,,18242
372,287,Ready to Move,3,Resale,,95238
373,1450,Ready to Move,7,Resale,,
374,400,Ready to Move,3,Resale,,82353
375,1380,Ready to Move,4,Resale,,8333
376,,Ready to Move,4,Resale,,7523
377,,Ready to Move,,Resale,,7475
378,,Ready to Move,4,Resale,,16667
379,,Ready to Move,3,Resale,,3400
380,76,Ready to Move,4,Resale,,5556
381,,Ready to Move,4,Resale,,4444
382,,Ready to Move,3,Resale,,6444
383,,Ready to Move,4,Resale,,3647
384,,Ready to Move,4,Resale,,11429
385,,Ready to Move,4,Resale,,16667
386,1400,Ready to Move,24,Resale,,15064
387,,Ready to Move,3,Resale,,7222
388,900,Ready to Move,4,Resale,,5444
389,2500,Ready to Move,4,Resale,,20833
390,,Ready to Move,4,Resale,,8846
391,,Ready to Move,4,Resale,,7143
392,800,Ready to Move,3,Resale,,9400
393,360,Ready to Move,4,Resale,,3958
394,,Ready to Move,3,Resale,,14225
395,675,Ready to Move,4,Resale,,5185
396,900,Ready to Move,3,Resale,,
397,3100,Ready to Move,3,Resale,,17581
398,1134,Ready to Move,4,Resale,,
399,200,Ready to Move,4,Resale,,
400,1080,Ready to Move,4,Resale,,
401,64,Ready to Move,4,Resale,,13790
402,1500,Ready to Move,3,Resale,,
403,800,Ready to Move,3,Resale,,
404,,Ready to Move,3,Resale,,11589
405,1200,Ready to Move,4,Resale,,10556
406,30,Ready to Move,3,Rent,,2862
407,600,Ready to Move,4,Resale,,4923
408,110,Ready to Move,5,Resale,,5758
409,,Ready to Move,4,Resale,,5000
410,1200,Ready to Move,4,Resale,,19531
411,,Ready to Move,3,Resale,,5556
412,,Ready to Move,5,Resale,,10000
413,,Ready to Move,3,Resale,,3182
414,1250,Ready to Move,2,New Property,,6429
415,,Ready to Move,3,Resale,,8889
416,968,Ready to Move,4,New Property,,13750
417,,Ready to Move,4,Resale,,5333
418,100,Ready to Move,4,Resale,,
419,500,Ready to Move,5,Resale,,7273
420,850,Ready to Move,3,Resale,,11579
421,,Ready to Move,4,Resale,,4000
422,1250,Ready to Move,4,Resale,,
423,,Ready to Move,4,Resale,,5670
424,2400,Ready to Move,3,Resale,,6456
425,,Ready to Move,4,Resale,,9278
426,340,Ready to Move,1,Resale,,7500
427,,Ready to Move,4,Resale,,3644
428,700,Ready to Move,3,Resale,,6207
429,2050,Ready to Move,4,New Property,,7111
430,,Ready to Move,3,Resale,,23003
431,550,Ready to Move,4,New Property,,27941
432,,Ready to Move,5,Resale,,5657
433,,Ready to Move,4,Resale,,16667
434,850,Ready to Move,4,Resale,,
435,1350,Ready to Move,3,Resale,,
436,900,Ready to Move,4,Resale,,5165
437,95,Ready to Move,3,Resale,,17032
438,1610,Ready to Move,3,Resale,,14881
439,,Ready to Move,3,Resale,,11111
440,1200,Ready to Move,2,Resale,,13333
441,,Ready to Move,4,New Property,,6503
442,450,Ready to Move,4,Resale,,4318
443,,Ready to Move,4,Resale,,7601
444,,Ready to Move,4,Resale,,11250
445,55,Ready to Move,5,Resale,,40000
446,,Ready to Move,4,Resale,,5735
447,1100,Ready to Move,4,New Property,,7036
448,1000,Ready to Move,2,New Property,,12917
449,,Ready to Move,3,Resale,,8889
450,950,Ready to Move,3,Resale,,11282
451,600,Ready to Move,4,Resale,,6154
452,2600,Ready to Move,10,Resale,,22222
453,,Ready to Move,4,Resale,,7105
454,650,Ready to Move,5,Resale,,4491
455,,Ready to Move,3,Resale,,17500
456,350,Ready to Move,3,Resale,,4250
457,800,Ready to Move,4,Resale,,4375
458,,Ready to Move,5,Resale,,3704
459,,Ready to Move,4,Resale,,17983
460,850,Ready to Move,4,Resale,,3905
461,,Ready to Move,5,Resale,,3556
462,1600,Ready to Move,3,Resale,,12500
463,,Ready to Move,4,Resale,,10909
464,,Ready to Move,4,Resale,,8667
465,675,Ready to Move,4,Resale,,7259
466,,Ready to Move,3,Resale,,15000
467,540,Ready to Move,4,New Property,,5667
468,750,Ready to Move,4,New Property,,6474
469,,Ready to Move,5,Resale,,4938
470,,Ready to Move,5,Resale,,8333
471,900,Ready to Move,5,Resale,,4200
472,,Ready to Move,4,Resale,,6667
473,,Ready to Move,4,Resale,,13889
474,630,Ready to Move,3,Resale,,5000
475,1800,Ready to Move,6,Resale,,
476,900,Ready to Move,3,Resale,,
477,,Ready to Move,4,Resale,,6222
478,,Ready to Move,5,Resale,,58824
479,,Ready to Move,5,Resale,,3333
480,,Ready to Move,4,Resale,,5000
481,250,Ready to Move,1,Resale,,9363
482,1251,Ready to Move,5,Resale,,6070
483,1600,Ready to Move,,Resale,,8235
484,1650,Ready to Move,4,Resale,,11050
485,1700,Ready to Move,4,Resale,,5000
486,1900,Ready to Move,10,Resale,,10000
487,,Ready to Move,,Resale,,5000
488,,Under Construction,,Resale,,9023
489,,Ready to Move,5,Resale,,9756
490,1254,Ready to Move,32,New Property,,11065
491,1950,Ready to Move,4,Resale,,6000
492,1431,Ready to Move,15,Resale,,11333
493,,Ready to Move,5,Resale,,7733
494,2500,Ready to Move,,Resale,,
495,350,Ready to Move,,Resale,,14444
496,2000,Ready to Move,,Resale,,7095
497,,Under Construction,,Resale,,12391
498,1800,Ready to Move,1,Resale,,
499,,Ready to Move,10,Resale,,8951
500,4800,Ready to Move,3,Resale,,7182
501,1900,Ready to Move,9,Resale,,9500
502,5500,Ready to Move,3,Resale,,3750
503,,Under Construction,44,Resale,,12069
504,,Under Construction,10,Resale,,6936
505,,Under Construction,30,Resale,,9518
506,2400,Ready to Move,2,Resale,,9921
507,1300,Ready to Move,10,Resale,,7107
508,1560,Ready to Move,19,Resale,,10204
509,3500,Ready to Move,,Resale,,9744
510,1500,Ready to Move,5,Resale,,6667
511,,Under Construction,,Resale,,8254
512,2500,Ready to Move,11,New Property,,8977
513,3000,Ready to Move,,Resale,,13281
514,1461,Ready to Move,5,Resale,,6429
515,1200,Ready to Move,14,Resale,,9737
516,1500,Ready to Move,5,Resale,,6940
517,,Ready to Move,12,Resale,,11500
518,1414,Ready to Move,10,Resale,,
519,6900,Ready to Move,,Resale,,30714
520,2800,Ready to Move,4,Resale,,17471
521,400,Ready to Move,2,New Property,,18889
522,1200,Ready to Move,4,Resale,,9302
523,2500,Ready to Move,,Resale,,
524,1250,Ready to Move,2,Resale,,11111
525,1632,Ready to Move,10,Resale,,7353
526,1450,Ready to Move,,Resale,,
527,1800,Ready to Move,5,Resale,,6322
528,5000,Ready to Move,2,Resale,,9091
529,2500,Ready to Move,19,New Property,,6950
530,,Under Construction,30,Resale,,9380
531,2335,Under Construction,39,New Property,,11777
532,,Under Construction,36,New Property,,10966
533,1315,Ready to Move,7,Resale,,6349
534,3000,Ready to Move,10,Resale,,9677
535,1400,Ready to Move,5,Resale,,15333
536,1200,Ready to Move,5,Resale,,8750
537,,Ready to Move,,Resale,,44543
538,,Ready to Move,22,Resale,,9000
539,1900,Ready to Move,24,Resale,,13974
540,1110,Ready to Move,9,Resale,,8333
541,1700,Ready to Move,1,New Property,,5789
542,,Ready to Move,2,Resale,,10212
543,,Ready to Move,5,New Property,,10654
544,2000,Ready to Move,10,Resale,,8120
545,1716,Ready to Move,9,Resale,,9602
546,2400,Ready to Move,2,Resale,,6600
547,2400,Ready to Move,,Resale,,10417
548,140,Ready to Move,3,Resale,,11111
549,4761,Ready to Move,39,Resale,,
550,,Ready to Move,5,Resale,,9369
551,1100,Ready to Move,1,Resale,,9562
552,1900,Ready to Move,5,New Property,,7398
553,940,Ready to Move,3,Resale,,11000
554,1800,Ready to Move,3,Resale,,7500
555,1450,Ready to Move,,Resale,,13889
556,1259,Under Construction,14,New Property,,10235
557,130,Ready to Move,2,New Property,,16129
558,,Ready to Move,10,Resale,,15795
559,800,Ready to Move,1,Resale,,11696
560,,Ready to Move,,New Property,,9350
561,2100,Ready to Move,5,Resale,,6912
562,1525,Ready to Move,13,Resale,,8393
563,1200,Ready to Move,5,Resale,,7625
564,1800,Ready to Move,,Resale,,11050
565,,Ready to Move,5,Resale,,8000
566,130,Ready to Move,1,Resale,,10000
567,,Ready to Move,1,Resale,,7566
568,1200,Ready to Move,,Resale,,
569,,Ready to Move,1,Resale,,8549
570,3000,Ready to Move,1,Resale,,5857
571,992,Ready to Move,5,Resale,,9225
572,1650,Ready to Move,1,Resale,,11111
573,3200,Ready to Move,3,Resale,,7143
574,1000,Ready to Move,5,Resale,,8361
575,5400,Ready to Move,2,Resale,,25455
576,1332,Ready to Move,30,Resale,,10178
577,1392,Ready to Move,19,Resale,,
578,1360,Under Construction,2,Resale,,
579,2200,Ready to Move,9,Resale,,8180
580,3000,Ready to Move,,Resale,,12167
581,1750,Ready to Move,5,Resale,,5366
582,,Ready to Move,,Resale,,12026
583,1450,Ready to Move,1,Resale,,9444
584,,Under Construction,8,Resale,,7652
585,3800,Under Construction,,Resale,,9412
586,,Ready to Move,35,Resale,,10491
587,3154,Ready to Move,15,Resale,,12000
588,,Ready to Move,6,Resale,,9039
589,,Ready to Move,24,Resale,,12791
590,,Ready to Move,19,Resale,,10698
591,2500,Ready to Move,,Resale,,5769
592,1600,Under Construction,7,Resale,,5556
593,,Under Construction,12,Resale,,6300
594,2700,Ready to Move,1,Resale,,15179
595,1250,Ready to Move,15,New Property,,10597
596,1600,Ready to Move,7,Resale,,6667
597,3000,Ready to Move,,Resale,,36806
598,1750,Ready to Move,5,Resale,,6556
599,1800,Ready to Move,2,Resale,,6190
600,,Ready to Move,6,Resale,,13000
601,2600,Ready to Move,5,Resale,,8178
602,,Ready to Move,2,Resale,,5800
603,1600,Ready to Move,5,Resale,,4850
604,,Ready to Move,6,Resale,,4563
605,1335,Ready to Move,34,Resale,,11469
606,4800,Ready to Move,2,Resale,,13200
607,,Under Construction,,New Property,,10500
608,1600,Ready to Move,5,Resale,,5903
609,,Ready to Move,15,Resale,,11500
610,1400,Ready to Move,4,Resale,,6897
611,2535,Ready to Move,18,Resale,,10059
612,5800,Ready to Move,,Resale,,10169
613,,Ready to Move,2,Resale,,4174
614,1550,Under Construction,,Resale,,7232
615,1500,Under Construction,5,Resale,,
616,1650,Ready to Move,32,Resale,,10043
617,2000,Ready to Move,2,Resale,,8400
618,2800,Ready to Move,8,Resale,,10930
619,1770,Ready to Move,10,New Property,,11864
620,2700,Ready to Move,,Resale,,6000
621,1500,Ready to Move,5,Resale,,8300
622,1485,Ready to Move,5,Resale,,6188
623,1160,Ready to Move,5,Resale,,9127
624,1000,Ready to Move,1,Resale,,12037
625,2000,Ready to Move,10,Resale,,7147
626,1890,Ready to Move,,Resale,,8794
627,1950,Ready to Move,1,Resale,,6195
628,5900,Ready to Move,4,New Property,,4500
629,2135,Under Construction,44,Resale,,10000
630,,Ready to Move,18,Resale,,9646
631,1530,Ready to Move,,Resale,,12121
632,1500,Ready to Move,5,Resale,,5482
633,1700,Ready to Move,5,Resale,,9485
634,1160,Ready to Move,5,Resale,,9106
635,2450,Ready to Move,,Resale,,6680
636,2000,Ready to Move,2,Resale,,8810
637,874,Ready to Move,22,New Property,,9139
638,3600,Ready to Move,,Resale,,5000
639,2125,Ready to Move,14,Resale,,12235
640,1668,Ready to Move,,Resale,,10000
641,1154,Ready to Move,2,Resale,,9804
642,,Ready to Move,1,Resale,,6786
643,1828,Ready to Move,5,Resale,,8368
644,,Ready to Move,,Resale,,10588
645,1009,Ready to Move,30,Resale,,8333
646,3600,Ready to Move,2,Resale,,34444
647,2000,Ready to Move,6,Resale,,9249
648,1260,Ready to Move,,Resale,,4318
649,1636,Ready to Move,15,Resale,,11002
650,1800,Ready to Move,4,New Property,,8750
651,1779,Ready to Move,10,Resale,,8056
652,1400,Ready to Move,4,Resale,,6908
653,2826,Ready to Move,5,Resale,,2905
654,,Ready to Move,,Resale,,11011
655,1450,Ready to Move,5,Resale,,6452
